Date,Price,Open,High,Low,Vol.,Change %,Sector,value
2021-12-06,10.3,10.3,10.3,10.29,0.55K,0.0,bank,BH
2021-12-03,10.3,10.33,10.33,10.3,1.29K,0.0,bank,BH
2021-12-02,10.3,10.25,10.3,10.25,0.20K,1.18,bank,BH
2021-12-01,10.18,10.38,10.38,10.18,0.17K,-1.93,bank,BH
2021-11-30,10.38,10.25,10.39,10.18,0.63K,-0.57,bank,BH
2021-11-29,10.44,10.44,10.44,10.44,0.06K,0.0,bank,BH
2021-11-26,10.44,10.46,10.46,10.3,0.77K,-0.29,bank,BH
2021-11-25,10.47,10.47,10.47,10.47,0.08K,0.19,bank,BH
2021-11-24,10.45,10.47,10.47,10.2,1.34K,-0.19,bank,BH
2021-11-23,10.47,10.23,10.47,10.2,1.44K,2.35,bank,BH
2021-11-22,10.23,10.23,10.23,10.22,1.48K,0.0,bank,BH
2021-11-19,10.23,10.26,10.26,10.0,12.73K,-0.29,bank,BH
2021-11-18,10.26,10.11,10.27,10.11,13.78K,-1.54,bank,BH
2021-11-17,10.42,10.1,10.42,10.1,17.49K,1.17,bank,BH
2021-11-16,10.3,10.0,10.3,10.0,9.74K,0.98,bank,BH
2021-11-15,10.2,10.14,10.39,10.1,5.98K,0.49,bank,BH
2021-11-12,10.15,10.15,10.15,10.15,1.47K,-0.2,bank,BH
2021-11-11,10.17,10.09,10.17,10.08,0.98K,2.31,bank,BH
2021-11-10,9.94,9.85,9.94,9.85,5.99K,0.4,bank,BH
2021-11-09,9.9,9.95,9.95,9.9,6.69K,-0.5,bank,BH
2021-11-08,9.95,9.94,9.95,9.94,3.33K,0.1,bank,BH
2021-11-05,9.94,9.94,9.94,9.94,2.94K,0.0,bank,BH
2021-11-04,9.94,9.9,9.94,9.9,3.67K,0.4,bank,BH
2021-11-03,9.9,9.89,9.95,9.89,12.80K,0.0,bank,BH
2021-11-02,9.9,9.9,9.9,9.9,13.70K,-0.3,bank,BH
2021-11-01,9.93,9.8,9.93,9.8,5.67K,-0.2,bank,BH
2021-10-29,9.95,9.95,9.96,9.95,8.35K,-0.2,bank,BH
2021-10-28,9.97,9.9,9.99,9.9,18.32K,0.91,bank,BH
2021-10-27,9.88,9.88,9.88,9.88,6.83K,0.0,bank,BH
2021-10-26,9.88,9.88,9.88,9.85,8.46K,0.0,bank,BH
2021-10-25,9.88,9.88,9.88,9.86,8.06K,0.0,bank,BH
2021-10-22,9.88,9.85,9.88,9.85,10.02K,0.3,bank,BH
2021-10-21,9.85,9.86,9.86,9.85,6.41K,-0.3,bank,BH
2021-10-20,9.88,9.88,9.88,9.61,5.23K,0.0,bank,BH
2021-10-19,9.88,9.88,9.88,9.88,4.11K,0.0,bank,BH
2021-10-14,9.88,9.86,9.88,9.86,3.00K,0.2,bank,BH
2021-10-13,9.86,9.85,9.86,9.85,3.91K,-0.2,bank,BH
2021-10-12,9.88,9.88,9.88,9.88,1.11K,0.0,bank,BH
2021-10-11,9.88,9.88,9.88,9.87,2.03K,0.0,bank,BH
2021-10-08,9.88,9.88,9.88,9.88,2.05K,0.0,bank,BH
2021-10-07,9.88,9.88,9.88,9.85,3.51K,-0.1,bank,BH
2021-10-06,9.89,9.87,9.89,9.87,1.22K,0.0,bank,BH
2021-10-05,9.89,9.89,9.89,9.61,2.20K,0.0,bank,BH
2021-10-04,9.89,9.89,9.89,9.7,2.85K,0.0,bank,BH
2021-10-01,9.89,9.88,9.89,9.88,1.35K,-0.1,bank,BH
2021-09-30,9.9,9.9,9.9,9.9,0.10K,1.02,bank,BH
2021-09-29,9.8,9.8,9.8,9.8,2.43K,-1.31,bank,BH
2021-09-28,9.93,9.9,9.93,9.66,0.30K,-0.2,bank,BH
2021-09-27,9.95,9.95,9.95,9.95,0.01K,-0.2,bank,BH
2021-09-24,9.97,9.68,9.97,9.68,11.28K,0.0,bank,BH
2021-09-23,9.97,9.97,9.97,9.97,1.00K,0.0,bank,BH
2021-09-22,9.97,9.68,9.97,9.68,0.60K,0.0,bank,BH
2021-09-21,9.97,9.97,9.97,9.69,2.10K,0.0,bank,BH
2021-09-20,9.97,9.97,9.97,9.95,2.19K,-0.2,bank,BH
2021-09-17,9.99,9.99,9.99,9.99,0.02K,0.0,bank,BH
2021-09-16,9.99,10.0,10.0,9.87,2.03K,0.0,bank,BH
2021-09-15,9.99,10.0,10.0,9.87,4.00K,-0.1,bank,BH
2021-09-14,10.0,10.19,10.19,10.0,38.96K,0.0,bank,BH
2021-09-13,10.0,10.0,10.0,10.0,13.16K,0.0,bank,BH
2021-09-10,10.0,10.0,10.0,10.0,1.03K,0.0,bank,BH
2021-09-09,10.0,10.0,10.3,10.0,36.79K,1.11,bank,BH
2021-09-08,9.89,10.1,10.1,9.89,26.36K,-2.47,bank,BH
2021-09-07,10.14,10.45,10.45,10.14,4.05K,-2.03,bank,BH
2021-09-06,10.35,10.48,10.6,10.35,24.59K,-1.15,bank,BH
2021-09-03,10.47,10.5,10.54,10.38,2.70K,-0.29,bank,BH
2021-09-01,10.5,10.3,10.5,10.3,18.32K,1.94,bank,BH
2021-08-31,10.3,10.34,10.34,10.3,5.04K,0.0,bank,BH
2021-08-27,10.3,10.18,10.33,10.18,11.96K,0.0,bank,BH
2021-08-26,10.3,10.32,10.32,10.01,6.05K,0.0,bank,BH
2021-08-25,10.3,10.39,10.4,10.2,5.82K,-0.48,bank,BH
2021-08-24,10.35,10.1,10.35,10.0,13.22K,3.5,bank,BH
2021-08-23,10.0,10.01,10.15,10.0,16.14K,0.0,bank,BH
2021-08-20,10.0,10.0,10.19,10.0,35.48K,0.0,bank,BH
2021-08-19,10.0,10.09,10.27,9.89,30.08K,0.0,bank,BH
2021-08-18,10.0,9.88,10.0,9.59,22.97K,-1.77,bank,BH
2021-08-17,10.18,9.99,10.28,9.99,3.53K,3.46,bank,BH
2021-08-16,9.84,9.73,9.87,9.51,12.06K,-2.09,bank,BH
2021-08-12,10.05,10.0,10.08,9.8,12.39K,1.41,bank,BH
2021-08-11,9.91,9.85,9.92,9.85,10.14K,0.61,bank,BH
2021-08-09,9.85,9.77,9.85,9.6,6.41K,0.82,bank,BH
2021-08-06,9.77,9.71,9.8,9.65,5.21K,1.24,bank,BH
2021-08-05,9.65,9.55,9.69,9.55,1.23K,1.05,bank,BH
2021-08-04,9.55,9.54,9.55,9.54,0.50K,0.53,bank,BH
2021-08-03,9.5,9.25,9.5,9.25,6.06K,0.64,bank,BH
2021-08-02,9.44,9.44,9.44,9.42,2.03K,0.0,bank,BH
2021-07-30,9.44,9.43,9.45,9.43,1.47K,0.11,bank,BH
2021-07-29,9.43,9.2,9.43,9.2,4.28K,2.5,bank,BH
2021-07-28,9.2,9.2,9.2,9.1,0.81K,0.0,bank,BH
2021-07-27,9.2,9.03,9.4,9.03,10.69K,0.33,bank,BH
2021-07-26,9.17,9.01,9.19,9.01,2.73K,-0.33,bank,BH
